solver,variant,implementation,nranks,n1,n2,n3,m,nsys,nrow_min,nrow_max,iter,iterations,mpi_mode,total_s_max,total_s_avg,local_compute_s_max,forward_exchange_s_max,reduced_compute_s_max,backward_exchange_s_max,update_compute_s_max,compute_s_max,communication_s_max
btdma,noncyclic,cuda-cxx,2,64,64,2048,3,4096,1024,1024,3,10,device,0.041819909,0.0418186915,0.03433731,0.000281983,6.3506e-05,3.33e-05,0.0071038,0.041504295,0.000315082
btdma,noncyclic,cuda-cxx,2,64,64,2048,3,4096,1024,1024,4,10,device,0.041802242,0.041802122,0.034340214,0.000277747,6.38159999999e-05,3.29490000001e-05,0.007097391,0.04150081,0.000310386
btdma,noncyclic,cuda-cxx,2,64,64,2048,3,4096,1024,1024,5,10,device,0.041808491,0.0418071445,0.034345973,0.00027313,6.3866e-05,3.37499999999e-05,0.007099423,0.041508721,0.00030637
btdma,noncyclic,cuda-cxx,2,64,64,2048,3,4096,1024,1024,6,10,device,0.041809293,0.0418029435,0.034331851,0.000282384,6.4967e-05,3.34499999999e-05,0.007104452,0.04150093,0.000315464
btdma,noncyclic,cuda-cxx,2,64,64,2048,3,4096,1024,1024,7,10,device,0.0418272,0.041825417,0.034359182,0.000289705,6.3846e-05,3.2379e-05,0.007102779,0.041525807,0.000321673
btdma,noncyclic,cuda-cxx,2,64,64,2048,3,4096,1024,1024,8,10,device,0.041810454,0.041809758,0.034345782,0.000271957,6.3986e-05,3.31699999999e-05,0.007098453,0.041506659,0.000305127
btdma,noncyclic,cuda-cxx,2,64,64,2048,3,4096,1024,1024,9,10,device,0.041825927,0.0418233035,0.034347575,0.000287962,6.3946e-05,3.3701e-05,0.007099044,0.041506248,0.000321663
btdma,noncyclic,cuda-cxx,4,64,64,2048,3,4096,512,512,0,10,device,0.120675186,0.1206522105,0.019969528,0.094657271,0.000468874,0.0023056,0.003546281,0.02396232,0.096940017
btdma,noncyclic,cuda-cxx,4,64,64,2048,3,4096,512,512,1,10,device,0.021227907,0.02122406075,0.017133732,0.000416665,0.000121603,7.7196e-05,0.003527324,0.020771733,0.000489104
btdma,noncyclic,cuda-cxx,4,64,64,2048,3,4096,512,512,2,10,device,0.021136649,0.02112629875,0.017113623,0.000328853,0.000121222,7.8538e-05,0.00352507,0.020753154,0.000407391
btdma,noncyclic,cuda-cxx,4,64,64,2048,3,4096,512,512,3,10,device,0.02111732,0.02110762075,0.01709884,0.00031309,0.000121292,6.4637e-05,0.003528966,0.020744832,0.000375714
btdma,noncyclic,cuda-cxx,4,64,64,2048,3,4096,512,512,4,10,device,0.021112323,0.021107864,0.017107193,0.000325088,0.000120951,5.8638e-05,0.003524118,0.020746694,0.000383516
btdma,noncyclic,cuda-cxx,4,64,64,2048,3,4096,512,512,5,10,device,0.021165473,0.021157919,0.017119811,0.000375343,0.000121443,6.1913e-05,0.003527143,0.02076389,0.000433771
btdma,noncyclic,cuda-cxx,4,64,64,2048,3,4096,512,512,6,10,device,0.021114576,0.02111063775,0.017106571,0.000313751,0.000121703,7.4122e-05,0.003525691,0.020749458,0.000380191
btdma,noncyclic,cuda-cxx,4,64,64,2048,3,4096,512,512,7,10,device,0.021119915,0.02111129925,0.017113772,0.000321423,0.000120871,6.0351e-05,0.003527413,0.020752572,0.000381113
